date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2011-12-20,0.585954427427828,0.04684275641755433,0.08764107667110894,0.04847300968040521,0.07376453279702977,0.07249938840310666,0.08482480860296707
2011-12-21,0.5824897550542204,0.04750927259677056,0.08927346816311912,0.04884742080003202,0.07374879212213857,0.07291529733751438,0.08521599392620507
2011-12-22,0.5789865437780697,0.04776266111284905,0.09158316090020056,0.04964864745057747,0.07376390390853682,0.07345405697265055,0.08480102587711574
2011-12-23,0.5780480634886707,0.047902277111978746,0.09203996198609939,0.04984728703577633,0.07405148552779811,0.07350724707017268,0.08460367777950402
2011-12-27,0.5783720698771068,0.048591600609258975,0.0901573929280803,0.04970474214498907,0.07432642892299222,0.07375874481032949,0.08508902070724308
2011-12-28,0.5813088342851502,0.047761651045230724,0.08750346997571999,0.05049522981179343,0.07417454444627282,0.07389885832112264,0.08485741211471029
2011-12-29,0.5802887387428985,0.04722271541966197,0.08785995142402174,0.05256107620884484,0.07401694072001398,0.07371414169234328,0.08433643579221539
2011-12-30,0.5839911787505168,0.04681025947069335,0.08661987993680048,0.05184433602157571,0.07432996424857065,0.07315467656360249,0.08324970500824055
2012-01-03,0.5843229680604195,0.04706773986748032,0.08450553661027474,0.05218893715799545,0.0743944702098536,0.07356963795219447,0.08395071014178183
2012-01-04,0.5851169147884179,0.04697485256147006,0.08431482298515336,0.052555119881658265,0.07423684624229458,0.07346935111799552,0.08333209242301032
2012-01-05,0.5806821634113337,0.04742052467098149,0.08528355582763857,0.05326596108683266,0.07582349247817231,0.07479745307803252,0.08272684944700888
2012-01-06,0.5828366573139643,0.047072072112811274,0.08499101572787363,0.05300864310847972,0.07552686535925596,0.07438678841647077,0.08217795796114447
2012-01-09,0.5837333320267494,0.0472206267756612,0.08463011120890707,0.052817097251325947,0.07507300065867488,0.0740672208341478,0.08245861124453396
2012-01-10,0.5840709508831107,0.04702892640235069,0.08407790965152401,0.05272425552909073,0.07523266934095911,0.07403476347552759,0.08283052471743703
2012-01-11,0.5792633522779055,0.047548609618192454,0.08456963161027017,0.053325258050183566,0.07656581636836046,0.0751074296986535,0.08361990237643442
2012-01-12,0.582828906362597,0.047436473354951325,0.08294901553422872,0.05328982631824249,0.07575686865261896,0.07476515989974465,0.08297374987761692
2012-01-13,0.5807149551356023,0.047860578728059495,0.08289447496096682,0.05386960581136331,0.07615868355065812,0.07560512066306282,0.0828965811502871
2012-01-17,0.5801561178987877,0.04772090308108004,0.0829023130564652,0.05411967725829796,0.07678403827434808,0.07577326074675254,0.08254368968426838
2012-01-18,0.5797010992746249,0.04776807125193168,0.08367433274482663,0.05402782427196561,0.07665980734922258,0.07576325167181408,0.0824056134356146
2012-01-19,0.5765746614343624,0.04835953267050102,0.08428218815563034,0.05453763942588051,0.07715461837143084,0.07679319426447316,0.0822981656777216
2012-01-20,0.5722825327723566,0.04955693707565457,0.08469336455012176,0.05566149258938454,0.07852968519422221,0.0773266206263332,0.08194936719192693
2012-01-23,0.5796685227937424,0.047960214810515114,0.08450065641724439,0.05451007043723246,0.07683184750869045,0.07564861197748392,0.08088007605509125
2012-01-24,0.5830487356091737,0.04755027892049253,0.0837156400854273,0.054037533958250325,0.07580343600781014,0.07486508741573712,0.0809792880031087
2012-01-25,0.5843188549804241,0.04868389557918785,0.07847785482909493,0.055182314352155544,0.0749097145401152,0.07557503586674756,0.08285232985227463
2012-01-26,0.5913666823434278,0.04795673628934339,0.07712555918015267,0.054342374633978674,0.07366658391520828,0.07426323207363401,0.08127883156425522
2012-01-27,0.596819488947617,0.04711121012149783,0.07405746511586875,0.05290611717603976,0.0713930218909901,0.07303928674368132,0.08467341000430528
2012-01-30,0.5999590107341788,0.04565049101931897,0.07108588832862694,0.05252333969480133,0.0709696244402031,0.07304776728754633,0.08676387849532442
2012-01-31,0.5964418986656714,0.046475269433629805,0.07134609248490106,0.053326513113882444,0.07126580557167836,0.07399468554679116,0.08714973518344571
2012-02-01,0.5960244706250108,0.04582585407413229,0.07170513335030598,0.053173770717974286,0.07194348729416622,0.0743944809329848,0.08693280300542545
2012-02-02,0.5960904722115342,0.045843457088390056,0.07147515747388179,0.053171724210115553,0.07201186165690708,0.07453967130406437,0.08686765605510686
2012-02-03,0.5981414670539617,0.04584510171256822,0.07247963718661672,0.05283144349549405,0.07184908841293274,0.07427526505817077,0.08457799708025583
2012-02-06,0.5989479914775367,0.0455748880968996,0.07221776640914214,0.05268643587727844,0.07176141115296984,0.07432274872409282,0.08448875826208051
