date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2011-06-09,0.376451615596372,0.08502443830550308,0.10974154530636905,0.08944132530906299,0.1027745020145756,0.1156171452656563,0.12094942820246088
2011-06-10,0.377671094915676,0.08427491118748204,0.10787983127754297,0.08823124787479347,0.10458349798228261,0.11652388480743667,0.12083553195478625
2011-06-13,0.3754714622600646,0.08456256919709612,0.10677773165783488,0.0881366885544943,0.10513351436093432,0.11865558746542529,0.12126244650415038
2011-06-14,0.3745415381477103,0.08501783801818602,0.10880164309671629,0.08827145827264848,0.10538001804468103,0.11845660273331207,0.11953090168674574
2011-06-15,0.3775503281289796,0.08474078110816642,0.10904334925431133,0.08915807767424355,0.10557498299973386,0.11762887482644607,0.11630360600811915
2011-06-16,0.3776653870083959,0.08462236878548539,0.10904637741486431,0.08922177466026068,0.10551169787106955,0.11769784141570028,0.1162345528442238
2011-06-17,0.3775949325901957,0.08502268674986355,0.10926064080630764,0.08917276965690556,0.10562904865595181,0.11754702581854415,0.11577289572223151
2011-06-20,0.3788541980904641,0.08462835192656176,0.1088636381059234,0.08818546120033202,0.10701294781238674,0.11710196941113948,0.11535343345319253
2011-06-21,0.3836924571557015,0.08413687667499267,0.10945706772773581,0.08733914260769421,0.10386767773035233,0.1156007514693129,0.1159060266342106
2011-06-22,0.38370055121434826,0.08400343986846423,0.10994763627435376,0.08723084632875455,0.10378582209249416,0.11533902113137867,0.11599268309020637
2011-06-23,0.38211319233768126,0.08475265850245388,0.10740635022512568,0.08787391621618634,0.1043696897192053,0.1164494239102623,0.11703476908908511
2011-06-24,0.3831802265463196,0.08550826618252305,0.10595870942839627,0.08869115000359412,0.10292478366213834,0.11604961156236318,0.11768725261466545
2011-06-27,0.3844198654522343,0.08584193169435438,0.10701024310511384,0.08905440525145061,0.10180023970756594,0.11583508042464005,0.11603823436464085
2011-06-28,0.3772105677134796,0.08750980416112882,0.10927310383541673,0.08980428393226517,0.10220800191901969,0.1163353170360048,0.11765892140268519
2011-06-29,0.37360327786078273,0.0881498400789783,0.11009638665634362,0.09044808294296448,0.10302077222871239,0.11654789975905114,0.11813374047316716
2011-06-30,0.37658748874980175,0.08752188574621611,0.11105842131796717,0.09010016121421666,0.10164497575534429,0.11516418578443706,0.11792288143201687
2011-07-01,0.3827179824676992,0.08667528291391505,0.10980860459318723,0.0887583727351805,0.09973939587703463,0.11231222587830111,0.11998813553468228
2011-07-05,0.3790950595124651,0.08746514768297545,0.10823113126938022,0.08966942672983119,0.10061266701693959,0.11355939679797195,0.12136717099043651
2011-07-06,0.38143350680232846,0.08698430106543535,0.10762854795354483,0.08958435147846444,0.1002415169120404,0.11311026406228394,0.12101751172590272
2011-07-07,0.37758433742854214,0.08754294420348784,0.10915584350600711,0.08995328308521022,0.10032212534046814,0.11338371853829156,0.12205774789799295
